rank,name,kind,live_mode,live_deployable,selection_score,val_scaled_score,train_scaled_score,oos_scaled_score_report_only,train_total_return,train_sharpe,train_max_drawdown,val_total_return,val_sharpe,val_max_drawdown,oos_total_return,oos_sharpe,oos_max_drawdown,cash_weight,caveat
1,retuned_live_portfolio_hybrid_mode,live_hybrid_static_validation_retune,retuned_live_portfolio_hybrid_mode,True,71.84892026098862,67.7967686450562,22.511953421846755,14.880978286792024,0.05604705845253344,0.6323112265823205,0.07061707540891282,0.09658142261929226,4.165593422276222,0.01427741081466094,0.0019732347599001887,0.5173122141021481,0.007291470322926541,0.0,committed live mode using the validation-primary static allocation over live portfolio sleeves
2,aggressive_realized_mode,live_portfolio_mode_static_replay,aggressive_realized_mode,True,71.84892026098862,67.7967686450562,22.511953421846755,14.880978286792024,0.05604705845253344,0.6323112265823205,0.07061707540891282,0.09658142261929226,4.165593422276222,0.01427741081466094,0.0019732347599001887,0.5173122141021481,0.007291470322926541,0.0,
3,core_mode,live_portfolio_mode_static_replay,core_mode,True,70.35681890551359,66.86868902377469,19.378499342993848,12.67593244818469,0.04326372315719418,0.5226828786397713,0.0720857166614316,0.09189196705502578,4.1124915340154065,0.01361416490481182,0.0008871113034689682,0.29388994413006925,0.0057343418925897005,0.0,
4,balanced_overlay_mode,live_portfolio_mode_static_replay,balanced_overlay_mode,True,69.11863431914973,65.67066177599412,19.155403017531164,13.69210538041043,0.039763950455758756,0.5292678158548181,0.06539405162765721,0.08307806753919622,4.111980216582392,0.01225837321502865,0.0010908766261372715,0.39614968419998303,0.005161645351370647,0.0,
5,defensive_overlay_mode,live_portfolio_mode_static_replay,defensive_overlay_mode,True,66.58824671990786,63.21969839745844,18.714157346941253,16.47583792999925,0.032558203112393214,0.5475392150415034,0.05191566502568801,0.0655824382569068,4.109740364858285,0.009543045323571309,0.001496218396611626,0.6821214326954871,0.004015760503572552,0.0,
6,strict_autoresearch_practical_mode,live_portfolio_mode_static_replay,strict_autoresearch_practical_mode,True,64.99463646007638,62.41034234169823,14.357189546545262,19.92516261018939,0.019247006497703056,0.3377241659870133,0.054232858500649406,0.06286167707870649,4.003718159241397,0.009237174693062067,0.001973005790167237,1.0123284540960702,0.00254774529920776,0.0,
7,production_guarded_state_vwap_pair_mode,live_portfolio_mode_static_replay,production_guarded_state_vwap_pair_mode,True,60.56439669058249,59.017389237144904,8.594485852431045,35.84659089171268,0.0005940468690734946,0.03634675540768134,0.04611969652807291,0.05323479373408224,3.897798738219949,0.00900447293722273,0.0046169931813691,2.822288505631388,0.0021938261960104954,0.35,
8,legacy_no_highvol_hybrid_mode,live_portfolio_mode_static_replay,legacy_no_highvol_hybrid_mode,True,53.35217861778529,54.64772764501538,-7.197494595722702,24.53132826891223,-0.044080421084919386,-0.8091572477217193,0.07544458051059366,0.060033962292094456,3.7017794738351206,0.01351739117877504,0.00595930409014489,1.4956878628244923,0.006721944803970592,0.366197310577848,
9,pair_tactical_mode,live_portfolio_mode_static_replay,pair_tactical_mode,True,47.744932921465306,45.103011895853875,14.677339031174622,28.007787768256044,0.0052435869294611415,0.4982063351081876,0.008228156602585135,0.005731271563915508,3.074078156890523,0.00018441897582088806,0.002891851580793414,2.675231344220166,0.0,0.0,
10,risk_off_mode,live_portfolio_mode_static_replay,risk_off_mode,True,11.8,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,retuned_live_portfolio_hybrid_dynamic_backtest,live_mode_sleeve_dynamic_research_path,,False,67.22675654876036,60.0814716486939,39.696027222591475,3.936374209260761,0.10690640527706008,1.581612484899956,0.03221036781936848,0.07160603871613702,3.5353949506195996,0.014271660352216387,-0.0017035502452448226,-0.5857830028566592,0.005239453546103778,0.09999999999999998,dynamic allocation path; live mode below uses the saved final allocation
