datetime,symbol,direction,quantity,fill_cost,commission,price
2026-02-15T04:04:00.000000,BTC/USDT,SELL,0.014,980.0851839414134,0.3920340735765654,70006.08456724382
2026-02-15T08:33:00.000000,BTC/USDT,BUY,0.014,985.8550482521241,0.39434201930084967,70418.21773229458
2026-02-15T08:33:00.000000,BTC/USDT,BUY,0.014,985.9782446240941,0.39439129784963767,70427.01747314958
2026-02-15T21:13:00.000000,BTC/USDT,SELL,0.014,961.4106027523711,0.38456424110094845,68672.18591088365
2026-02-15T21:13:00.000000,BTC/USDT,SELL,0.014,961.1637617774444,0.3844655047109778,68654.5544126746
2026-02-15T23:04:00.000000,BTC/USDT,BUY,0.014,960.6478068054162,0.3842591227221665,68617.70048610115
2026-02-15T23:04:00.000000,BTC/USDT,BUY,0.014,960.7512358433311,0.38430049433733243,68625.08827452364
2026-02-16T04:05:00.000000,BTC/USDT,SELL,0.014,958.2000291886235,0.3832800116754494,68442.85922775882
2026-02-16T04:05:00.000000,BTC/USDT,SELL,0.014,958.0394756617337,0.3832157902646935,68431.39111869526
2026-02-16T05:16:00.000000,BTC/USDT,BUY,0.014,958.7701262714866,0.38350805050859466,68483.58044796332
2026-02-16T05:16:00.000000,BTC/USDT,BUY,0.014,958.8606206876333,0.38354424827505335,68490.04433483095
2026-02-16T12:27:00.000000,BTC/USDT,SELL,0.014,970.1973311502812,0.3880789324601125,69299.80936787723
2026-02-16T12:27:00.000000,BTC/USDT,SELL,0.014,970.429745833832,0.3881718983335328,69316.41041670229
2026-02-16T13:29:00.000000,BTC/USDT,BUY,0.014,962.1678220836427,0.3848671288334571,68726.27300597448
2026-02-16T13:29:00.000000,BTC/USDT,BUY,0.014,962.3847159598492,0.38495388638393974,68741.76542570352
2026-02-16T20:53:00.000000,BTC/USDT,SELL,0.014,956.5631965286835,0.38262527861147344,68325.94260919168
2026-02-16T20:53:00.000000,BTC/USDT,SELL,0.014,956.7184959873241,0.38268739839492966,68337.03542766601
2026-02-17T02:03:00.000000,BTC/USDT,BUY,0.014,959.0690491209149,0.38362761964836595,68504.93208006535
2026-02-17T02:03:00.000000,BTC/USDT,BUY,0.014,959.1745577162598,0.38366982308650394,68512.46840830427
2026-02-17T12:08:00.000000,BTC/USDT,SELL,0.014,952.7399262821108,0.38109597051284433,68052.85187729362
2026-02-17T12:08:00.000000,BTC/USDT,SELL,0.014,952.3590194536242,0.3809436077814497,68025.64424668744
2026-02-17T14:44:00.000000,BTC/USDT,BUY,0.014,938.1878004912589,0.3752751201965036,67013.41432080421
2026-02-17T14:44:00.000000,BTC/USDT,BUY,0.014,938.0200342816763,0.37520801371267054,67001.43102011974
2026-02-18T07:44:00.000000,BTC/USDT,SELL,0.014,952.2756995262926,0.38091027981051706,68019.69282330661
2026-02-18T07:44:00.000000,BTC/USDT,SELL,0.014,951.8938004736441,0.38075752018945763,67992.414319546
2026-02-18T11:08:00.000000,BTC/USDT,BUY,0.014,945.2474653909663,0.37809898615638654,67517.67609935474
2026-02-18T11:08:00.000000,BTC/USDT,BUY,0.014,945.1322764094755,0.3780529105637902,67509.44831496253
2026-02-18T15:39:00.000000,BTC/USDT,SELL,0.014,950.4046476471993,0.3801618590588798,67886.04626051424
2026-02-18T15:39:00.000000,BTC/USDT,SELL,0.014,950.0477340224419,0.3800190936089768,67860.55243017442
