rank,name,kind,live_mode,live_deployable,selection_score,val_scaled_score,train_scaled_score,oos_scaled_score_report_only,train_total_return,train_sharpe,train_sortino,train_calmar,train_max_drawdown,val_total_return,val_sharpe,val_sortino,val_calmar,val_max_drawdown,oos_total_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,cash_weight,caveat
1,aggressive_realized_mode,live_static_or_final_allocation_replay,aggressive_realized_mode,True,71.84892026098862,67.7967686450562,22.511953421846755,14.880978286792024,0.05604705845253344,0.6323112265823205,1.1507515526118857,0.7936757240085243,0.07061707540891282,0.09658142261929226,4.165593422276222,12.140370813739173,53.85637715722416,0.01427741081466094,0.0019732347599001887,0.5173122141021481,0.4963877577999353,1.9486120014928938,0.007291470322926541,0.0,
2,core_mode,live_static_or_final_allocation_replay,core_mode,True,70.35681890551359,66.86868902377469,19.378499342993848,12.67593244818469,0.04326372315719418,0.5226828786397713,0.9431644202663356,0.600170535314131,0.0720857166614316,0.09189196705502578,4.1124915340154065,11.950689210891683,53.080516849509735,0.01361416490481182,0.0008871113034689682,0.29388994413006925,0.27932108526800437,1.1102056341420576,0.0057343418925897005,0.0,
3,balanced_overlay_mode,live_static_or_final_allocation_replay,balanced_overlay_mode,True,69.11863431914973,65.67066177599412,19.155403017531164,13.69210538041043,0.039763950455758756,0.5292678158548181,0.9532561144635011,0.6080667807856291,0.06539405162765721,0.08307806753919622,4.111980216582392,12.03574312763367,52.0788788512886,0.01225837321502865,0.0010908766261372715,0.39614968419998303,0.37675622589712365,1.5176404431756885,0.005161645351370647,0.0,
4,defensive_overlay_mode,live_static_or_final_allocation_replay,defensive_overlay_mode,True,66.58824671990786,63.21969839745844,18.714157346941253,16.47583792999925,0.032558203112393214,0.5475392150415034,0.9815101720879755,0.6271363970062471,0.05191566502568801,0.0655824382569068,4.109740364858285,12.278754318324383,50.44273063647914,0.009543045323571309,0.001496218396611626,0.6821214326954871,0.6551423419802004,2.6788646655688293,0.004015760503572552,0.0,
5,strict_autoresearch_practical_mode,live_static_or_final_allocation_replay,strict_autoresearch_practical_mode,True,64.99463646007638,62.41034234169823,14.357189546545262,19.92516261018939,0.019247006497703056,0.3377241659870133,0.5903697367205819,0.354895667125357,0.054232858500649406,0.06286167707870649,4.003718159241397,12.309085456188326,49.59654724974036,0.009237174693062067,0.001973005790167237,1.0123284540960702,0.9781636555105878,5.576141331838427,0.00254774529920776,0.0,
6,production_guarded_state_vwap_pair_mode,live_static_or_final_allocation_replay,production_guarded_state_vwap_pair_mode,True,60.56439669058249,59.017389237144904,8.594485852431045,35.84659089171268,0.0005940468690734946,0.03634675540768134,0.05220672620801262,0.012880545922757758,0.04611969652807291,0.05323479373408224,3.897798738219949,11.248230333259809,42.01493571479656,0.00900447293722273,0.0046169931813691,2.822288505631388,3.3638153583997643,15.277681428497111,0.0021938261960104954,0.35,
7,legacy_no_highvol_hybrid_mode,live_final_allocation_replay,legacy_no_highvol_hybrid_mode,True,53.35217861778529,54.64772764501538,-7.197494595722702,24.53132826891223,-0.044080421084919386,-0.8091572477217193,-0.7045020207059762,-0.5842755143787932,0.07544458051059366,0.060033962292094456,3.7017794738351206,7.0975353963109935,32.128813867744306,0.01351739117877504,0.00595930409014489,1.4956878628244923,1.5084900934393661,6.462476781088413,0.006721944803970592,0.366197310577848,deployable through ArtifactPortfolioModeStrategy using the materialized final allocation; historical dynamic allocator score is reported separately
8,pair_tactical_mode,live_static_or_final_allocation_replay,pair_tactical_mode,True,47.744932921465306,45.103011895853875,14.677339031174622,28.007787768256044,0.0052435869294611415,0.4982063351081876,0.23679084261579825,0.6372735939194087,0.008228156602585135,0.005731271563915508,3.074078156890523,0.0,195.13919785855975,0.00018441897582088806,0.002891851580793414,2.675231344220166,0.0,0.0,0.0,0.0,
9,risk_off_mode,live_static_or_final_allocation_replay,risk_off_mode,True,11.8,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
10,hybrid_guarded_mode,live_static_or_final_allocation_replay,hybrid_guarded_mode,True,11.8,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"current live HYBRID mode uses the latest saved final allocation, not the dynamic allocator path"
11,retuned_full_universe_hybrid_online,full_universe_generated_stream_backtest_report_only,,False,85.83144425858937,76.04355005197438,54.37719003674994,11.558987849410999,0.6333253870960251,1.858368561826648,3.831538254554075,5.869207901557515,0.10790644968087759,0.2382286933882083,3.718116581305881,8.988625265491562,66.6710146919349,0.041257123842035726,0.0006671322883500252,0.17846078965897763,0.20719824253922955,0.7613046803167951,0.007287032474601607,0.0,"stream-backed in research report, but no committed live portfolio mode artifact yet"
12,full_universe_v35_train_learned_high_vol_hybrid,full_universe_generated_stream_backtest_report_only,,False,73.76581644885513,67.19259936375379,36.51787269500748,19.868774135638077,0.16767366804132844,1.0887743266408951,1.8574885454408334,1.1353307842726204,0.14768706210036664,0.16497511128782305,3.6331255459665623,7.132147942244293,42.75416280550446,0.0367673852858571,0.0037306810855510797,1.0071688948090627,1.045660664763523,4.424896345022248,0.007089919920678089,0.0,"stream-backed in research report, but no committed live portfolio mode artifact yet"
13,full_universe_v36_rolling_dynamic_high_vol_hybrid,full_universe_generated_stream_backtest_report_only,,False,70.43260499478892,66.11349935949234,23.99503130720326,18.653012690678583,0.09517064151365595,0.6520964124331091,1.032088561275107,0.561704729354076,0.16943179670766884,0.1645870751093248,3.5835708704486575,6.678936299518725,40.22232539473065,0.03895009861238308,0.003197140656533426,0.8909711636394764,0.9023137937398158,3.765693024614334,0.007125679960727993,0.0,"stream-backed in research report, but no committed live portfolio mode artifact yet"
14,legacy_metric_no_highvol_materialized_dynamic_stream_backtest,stream_backed_dynamic_research_proxy,,False,59.21592048030717,52.85547308541136,35.33581886053228,-14.79242583425916,0.09685613038331375,1.2873275375762105,2.0393804450998956,2.2817326282811874,0.04244850127610034,0.05683565699707738,3.0943058382937774,7.792667918745181,34.64024314350567,0.011770539951527992,-0.0035674287697931018,-3.5249330761815467,-1.246918379125686,-6.880746172790446,0.0036700846557635725,0.366197310577848,stream-backed reconstruction of the metric-only winner; live strategy mode uses its final allocation unless/until a stateful live HYBRID allocator is implemented
