symbol,rows,first_timestamp_ms,last_timestamp_ms,funding_rows,funding_fee_rows,mark_rows,index_rows,open_interest_rows,taker_flow_rows,liquidation_rows,oi_first_timestamp_ms,oi_last_timestamp_ms,taker_flow_first_timestamp_ms,taker_flow_last_timestamp_ms,first_timestamp_utc,last_timestamp_utc,oi_first_timestamp_utc,oi_last_timestamp_utc,taker_flow_first_timestamp_utc,taker_flow_last_timestamp_utc,has_funding_fee,has_mark,has_index,has_open_interest,has_taker_flow,has_liquidation
BNBUSDT,707732,1735689600015,1778111940000,1473,1473,707039,87840,17568,0,0,1772841600000,1778111700000,,,2025-01-01T00:00:00.015000+00:00,2026-05-06T23:59:00+00:00,2026-03-07T00:00:00+00:00,2026-05-06T23:55:00+00:00,,,true,true,true,true,false,false
BTCUSDT,2703191,1700000000000,1778111940000,2712,2712,1301202,86401,17280,2101668,0,1772928000000,1778111700000,1735689620000,1777766400000,2023-11-14T22:13:20+00:00,2026-05-06T23:59:00+00:00,2026-03-08T00:00:00+00:00,2026-05-06T23:55:00+00:00,2025-01-01T00:00:20+00:00,2026-05-03T00:00:00+00:00,true,true,true,true,true,false
ETHUSDT,2109455,1735689600015,1778111940000,1473,1473,707039,87840,17568,2102583,0,1772841600000,1778111700000,1735689620000,1777766400000,2025-01-01T00:00:00.015000+00:00,2026-05-06T23:59:00+00:00,2026-03-07T00:00:00+00:00,2026-05-06T23:55:00+00:00,2025-01-01T00:00:20+00:00,2026-05-03T00:00:00+00:00,true,true,true,true,true,false
SOLUSDT,2107358,1735689600015,1778111940000,1473,1473,707039,87840,17568,2099436,0,1772841600000,1778111700000,1735693120000,1777766400000,2025-01-01T00:00:00.015000+00:00,2026-05-06T23:59:00+00:00,2026-03-07T00:00:00+00:00,2026-05-06T23:55:00+00:00,2025-01-01T00:58:40+00:00,2026-05-03T00:00:00+00:00,true,true,true,true,true,false
TRXUSDT,707732,1735689600015,1778111940000,1473,1473,707039,87840,17568,0,0,1772841600000,1778111700000,,,2025-01-01T00:00:00.015000+00:00,2026-05-06T23:59:00+00:00,2026-03-07T00:00:00+00:00,2026-05-06T23:55:00+00:00,,,true,true,true,true,false,false
