symbol,rows,first_timestamp_ms,last_timestamp_ms,funding_rows,funding_fee_rows,mark_rows,index_rows,open_interest_rows,taker_flow_rows,liquidation_rows,oi_first_timestamp_ms,oi_last_timestamp_ms,taker_flow_first_timestamp_ms,taker_flow_last_timestamp_ms,first_timestamp_utc,last_timestamp_utc,oi_first_timestamp_utc,oi_last_timestamp_utc,taker_flow_first_timestamp_utc,taker_flow_last_timestamp_utc,has_funding_fee,has_mark,has_index,has_open_interest,has_taker_flow,has_liquidation
BTCUSDT,2700563,1700000000000,1777954440000,2707,2707,1298577,83776,16755,2101668,0,1772928000000,1777954200000,1735689620000,1777766400000,2023-11-14T22:13:20+00:00,2026-05-05T04:14:00+00:00,2026-03-08T00:00:00+00:00,2026-05-05T04:10:00+00:00,2025-01-01T00:00:20+00:00,2026-05-03T00:00:00+00:00,true,true,true,true,true,false
ETHUSDT,2106827,1735689600015,1777954440000,1468,1468,704414,85215,17043,2102583,0,1772841600000,1777954200000,1735689620000,1777766400000,2025-01-01T00:00:00.015000+00:00,2026-05-05T04:14:00+00:00,2026-03-07T00:00:00+00:00,2026-05-05T04:10:00+00:00,2025-01-01T00:00:20+00:00,2026-05-03T00:00:00+00:00,true,true,true,true,true,false
SOLUSDT,2104730,1735689600015,1777954440000,1468,1468,704414,85215,17043,2099436,0,1772841600000,1777954200000,1735693120000,1777766400000,2025-01-01T00:00:00.015000+00:00,2026-05-05T04:14:00+00:00,2026-03-07T00:00:00+00:00,2026-05-05T04:10:00+00:00,2025-01-01T00:58:40+00:00,2026-05-03T00:00:00+00:00,true,true,true,true,true,false
XAGUSDT,86631,1767771720000,1774715040000,361,361,86286,86007,8201,0,0,1770480300000,1774714800000,,,2026-01-07T07:42:00+00:00,2026-03-28T16:24:00+00:00,2026-02-07T16:05:00+00:00,2026-03-28T16:20:00+00:00,,,true,true,true,true,false,false
XAUUSDT,125766,1765433280000,1774715040000,523,523,125260,125002,8000,0,0,1770540600000,1774714800000,,,2025-12-11T06:08:00+00:00,2026-03-28T16:24:00+00:00,2026-02-08T08:50:00+00:00,2026-03-28T16:20:00+00:00,,,true,true,true,true,false,false
XPDUSDT,53078,1769768100000,1774715040000,220,220,52873,52873,2176,0,0,1770518100000,1774714800000,,,2026-01-30T10:15:00+00:00,2026-03-28T16:24:00+00:00,2026-02-08T02:35:00+00:00,2026-03-28T16:20:00+00:00,,,true,true,true,true,false,false
XPTUSDT,53093,1769767200000,1774715040000,220,220,52888,52888,2191,0,0,1770517200000,1774714800000,,,2026-01-30T10:00:00+00:00,2026-03-28T16:24:00+00:00,2026-02-08T02:20:00+00:00,2026-03-28T16:20:00+00:00,,,true,true,true,true,false,false
