alpha_blocking_reasons,blocking_reasons,cash_weight,fallback_eligible,mode,oos_cagr,oos_calmar,oos_max_drawdown,oos_scaled_score_report_only,oos_sharpe,oos_sortino,oos_total_return,oos_volatility,selection_eligible,selection_role,selection_score,status,symbols,train_cagr,train_calmar,train_final_equity,train_liquidation_count,train_max_drawdown,train_scaled_score,train_sharpe,train_sortino,train_total_return,train_trade_count,train_volatility,val_cagr,val_calmar,val_final_equity,val_liquidation_count,val_max_drawdown,val_scaled_score,val_sharpe,val_sortino,val_total_return,val_trade_count,val_volatility
,,0.0,False,profit_moonshot_trend_mode,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,alpha,11.747073662682082,live_equivalent_validated,"BTC/USDT,ETH/USDT,BNB/USDT,SOL/USDT,TRX/USDT",-1.7049488493237064e-06,-0.00016242074707759153,9964.509569244392,0,0.0104971124686997,8.959410399472482,-0.0037300948133983138,-0.001014723562987558,-0.0035490430755608093,228,0.0004320574703496115,2.6813941156333954e-07,0.0010044937904648023,10000.904000408213,0,0.00026693983985631736,10.134379790777036,0.016720171971108044,0.0035214482311279435,9.040004082128128e-05,6,1.604457710980111e-05
,,0.0,False,profit_moonshot_adaptive_momentum_mode,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,True,alpha,10.629284947165248,live_equivalent_validated,"BTC/USDT,ETH/USDT,BNB/USDT,SOL/USDT,TRX/USDT",-9.017011389222951e-06,-7.471466945832684e-05,9813.72489418102,0,0.12068595704960343,2.1175135230091855,0.004374040041073827,0.004593060067673289,-0.018627699581898027,356,0.010511849593559051,7.84827265909449e-06,0.0010403456316180433,10026.53024244255,0,0.007543908890056202,10.248132513023595,0.012416813428343922,0.01203641251634252,0.002649326244255068,52,0.0006490275567126514
train_trade_count_below_min;val_trade_count_below_min;val_total_return_not_positive;val_sharpe_not_positive;val_sortino_not_positive,,0.0,False,profit_moonshot_breakout_mode,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,False,alpha,11.799921823212587,live_equivalent_validated,"BTC/USDT,ETH/USDT,BNB/USDT,SOL/USDT,TRX/USDT",7.297288995289364e-09,2.7165115063294723e-05,10000.152172508242,0,0.00026862720729460115,9.999565684514373,0.001020388677178537,9.32447756565006e-05,1.5217250824317574e-05,6,7.17671769458795e-06,0.0,0.0,10000.0,0,0.0,10.0,0.0,0.0,0.0,0,0.0
val_total_return_not_positive;val_sharpe_not_positive;val_sortino_not_positive,,0.0,False,profit_moonshot_balanced_mode,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,False,alpha,11.576922040784549,live_equivalent_validated,"BTC/USDT,ETH/USDT,BNB/USDT,SOL/USDT,TRX/USDT",-1.1448414021231201e-06,-0.00026846384246179426,9976.154928759595,0,0.004264415615991361,9.374441375757552,-0.007091337478658983,-0.0034816634860356977,-0.0023845071240404803,777,0.0001596453085958124,-1.6332104724181562e-07,-0.00038133224928336984,9999.44942227251,0,0.0004282906770899698,9.88952259314819,-0.010204998654973426,-0.006048529267742868,-5.505777274905643e-05,112,1.5991496285678443e-05
val_total_return_not_positive;val_sharpe_not_positive;val_sortino_not_positive,,0.0,False,profit_moonshot_reversion_mode,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,False,alpha,11.35463760899005,live_equivalent_validated,"BTC/USDT,ETH/USDT,BNB/USDT,SOL/USDT,TRX/USDT",-2.2575147601289203e-06,-0.00030704366928763866,9953.034322267953,0,0.007352422426967805,8.829108458019173,-0.011717706034274643,-0.0050166560556882175,-0.004696567773204707,567,0.00019110036412975362,-8.207979191876547e-07,-0.0006341916582103768,9997.23328297173,0,0.0012942426923492835,9.765398086546599,-0.016621554317757796,-0.009552354657588778,-0.0002766717028269694,106,4.930842185917821e-05
val_total_return_not_positive;val_sharpe_not_positive;val_sortino_not_positive,,0.0,False,profit_reboot_compression_breakout_mode,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,False,alpha,8.61554748452189,live_equivalent_validated,"BTC/USDT,ETH/USDT,BNB/USDT,SOL/USDT,TRX/USDT",-9.138340860692651e-07,-8.332139419922583e-05,9980.961831428633,0,0.010967580353783325,9.212947680154755,-0.003914916109563962,-0.0013445147489914368,-0.0019038168571366976,144,0.00022685154121019716,-3.056690697744724e-05,-0.002939092704286068,9897.479488773848,0,0.010400116652622637,6.957216902094035,-0.11420268659305002,-0.05048821982918326,-0.01025205112261518,38,0.0002673460349938272
