candidate_id,base_mode,variant,cadence_bars,overrides,definition_hash,changed_components,native_cadences,weighted_gross_exposure,weighted_target_allocation,max_order_value_sum,full_gate_pass,full_gate_reasons,train_status,train_trade_count,train_liquidation_count,train_wall_seconds,train_final_equity,train_total_return,train_cagr,train_sharpe,train_sortino,train_calmar,train_max_drawdown,train_volatility,train_raw_total_return,train_raw_max_drawdown,train_min_equity,train_raw_final_equity,train_equity_breach_count,train_equity_breach_observed,val_status,val_trade_count,val_liquidation_count,val_wall_seconds,val_final_equity,val_total_return,val_cagr,val_sharpe,val_sortino,val_calmar,val_max_drawdown,val_volatility,val_raw_total_return,val_raw_max_drawdown,val_min_equity,val_raw_final_equity,val_equity_breach_count,val_equity_breach_observed,oos_status,oos_trade_count,oos_liquidation_count,oos_wall_seconds,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_volatility,oos_raw_total_return,oos_raw_max_drawdown,oos_min_equity,oos_raw_final_equity,oos_equity_breach_count,oos_equity_breach_observed
profit_moonshot_taker_flow_exhaustion_eth_hold_mode__cadence_60b,profit_moonshot_taker_flow_exhaustion_eth_hold_mode,cadence_60b,60,{'profit_moonshot_taker_flow_exhaustion_eth_12h_hold_us_eu_vol_guard': {'evaluation_cadence_bars': 60}},840784bc042ef8b097203470d335a3f99833c0261be2cfdc8ea6c5d235cb39e3,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.16410757299945544,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_hold_mode__cadence_360b,profit_moonshot_taker_flow_exhaustion_eth_hold_mode,cadence_360b,360,{'profit_moonshot_taker_flow_exhaustion_eth_12h_hold_us_eu_vol_guard': {'evaluation_cadence_bars': 360}},78bb9a63cb32a763e41a56e7cdc33f2166cf5e4a5b1d684a6e16d87b839c3a8f,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1730059439996694,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_hold_mode__cadence_1440b,profit_moonshot_taker_flow_exhaustion_eth_hold_mode,cadence_1440b,1440,{'profit_moonshot_taker_flow_exhaustion_eth_12h_hold_us_eu_vol_guard': {'evaluation_cadence_bars': 1440}},d79e79276ad9e6c2a225797685f378049cabea4590c916604111eefe9acb9315,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1578376429997661,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_mode__native,profit_moonshot_taker_flow_exhaustion_eth_mode,native,,{},33faadb094046ae80ed4c6c23a785429de50c90efff0deab4df3f5e4df91efe5,0,[180],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.15846152399990387,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_mode__cadence_1b,profit_moonshot_taker_flow_exhaustion_eth_mode,cadence_1b,1,{'profit_moonshot_taker_flow_exhaustion_eth_12h_us_eu_vol_guard': {'evaluation_cadence_bars': 1}},930d2957a423655adeb4526cf14de832bd6d70f038de0805f2efed0244f45fb0,1,[180],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1845551719998184,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_mode__cadence_15b,profit_moonshot_taker_flow_exhaustion_eth_mode,cadence_15b,15,{'profit_moonshot_taker_flow_exhaustion_eth_12h_us_eu_vol_guard': {'evaluation_cadence_bars': 15}},29784b6b15d934ce19a119c9e9bf05619291a5906acf8eaf99aa319d3b86c036,1,[180],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.16855880099956266,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_mode__cadence_60b,profit_moonshot_taker_flow_exhaustion_eth_mode,cadence_60b,60,{'profit_moonshot_taker_flow_exhaustion_eth_12h_us_eu_vol_guard': {'evaluation_cadence_bars': 60}},9ecc867fce5bf8984f24d45e6f9853d0ff513a554762cdb7df80dbad98b2d417,1,[180],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1568705300005604,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_mode__cadence_360b,profit_moonshot_taker_flow_exhaustion_eth_mode,cadence_360b,360,{'profit_moonshot_taker_flow_exhaustion_eth_12h_us_eu_vol_guard': {'evaluation_cadence_bars': 360}},5921e47a3e08eef8bc2b827bedd1f41a8643421452eb5ff5be6c2fa12025cda3,1,[180],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.15804606799974863,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_mode__cadence_1440b,profit_moonshot_taker_flow_exhaustion_eth_mode,cadence_1440b,1440,{'profit_moonshot_taker_flow_exhaustion_eth_12h_us_eu_vol_guard': {'evaluation_cadence_bars': 1440}},c0f9732dec58caef40ed744e8ea947a952a76faf98bac0eff51ca13c2244a0f1,1,[180],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.16614649500024825,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_reactive_mode__native,profit_moonshot_taker_flow_exhaustion_eth_reactive_mode,native,,{},3828aee48f7f74bde218b93ab6daed76887e1841ad71af68dab7e66dcab94b4b,0,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.19804767300047388,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
