datetime,open,high,low,close,volume
2025-01-01T00:00:00.000,93548.8,93599.9,93514.2,93599.9,71.187
2025-01-01T00:01:00.000,93599.9,93637.7,93577.6,93637.7,39.526
2025-01-01T00:02:00.000,93637.7,93690.0,93614.2,93688.5,94.805
2025-01-01T00:03:00.000,93688.5,93688.5,93626.4,93664.6,45.566
2025-01-01T00:04:00.000,93664.5,93668.3,93626.3,93648.4,90.52
2025-01-01T00:05:00.000,93648.3,93666.7,93637.5,93663.4,26.631
2025-01-01T00:06:00.000,93663.4,93663.4,93576.9,93620.8,40.442
2025-01-01T00:07:00.000,93620.8,93620.8,93592.8,93592.8,22.117
2025-01-01T00:08:00.000,93592.8,93601.3,93581.6,93601.3,46.774
2025-01-01T00:09:00.000,93601.3,93601.3,93585.0,93585.9,30.377
2025-01-01T00:10:00.000,93586.0,93614.9,93506.4,93506.4,125.73
2025-01-01T00:11:00.000,93506.5,93530.0,93460.8,93485.8,142.158
2025-01-01T00:12:00.000,93485.7,93509.3,93460.2,93499.8,120.309
2025-01-01T00:13:00.000,93499.8,93537.4,93499.8,93532.9,53.737
2025-01-01T00:14:00.000,93532.8,93637.2,93532.8,93631.2,38.27
2025-01-01T00:15:00.000,93631.2,93702.6,93588.0,93694.1,143.304
2025-01-01T00:16:00.000,93694.0,93777.0,93679.6,93763.1,161.846
2025-01-01T00:17:00.000,93763.2,93810.0,93753.2,93810.0,78.919
2025-01-01T00:18:00.000,93810.0,93829.4,93768.1,93802.9,101.14
2025-01-01T00:19:00.000,93802.9,93809.2,93765.2,93781.0,60.438
2025-01-01T00:20:00.000,93781.0,93846.0,93780.9,93837.7,114.748
2025-01-01T00:21:00.000,93837.7,93885.0,93772.0,93772.0,105.238
2025-01-01T00:22:00.000,93772.1,93778.0,93702.0,93702.7,57.922
2025-01-01T00:23:00.000,93702.6,93733.0,93680.0,93717.7,82.389
2025-01-01T00:24:00.000,93717.7,93734.0,93712.0,93712.0,31.745
2025-01-01T00:25:00.000,93712.0,93724.0,93706.3,93706.5,19.986
2025-01-01T00:26:00.000,93706.5,93709.3,93692.1,93709.2,48.303
